[log] logging to logs.txt
[map assets/01.map] read map: oneway_square
[map assets/01.map] read graphics: map_01_oneway_square.bmp
[map assets/01.map] read guide: b-01.bmp
[map assets/01.map] read init: x = 550.000000, y = 200.000000, head = 90.000000
[map assets/01.map] starting to read segment rd of size 4
[map assets/01.map] finished reading segment rd
[map assets/01.map] starting to read segment wp of size 5
[map assets/01.map] finished reading segment wp
[map assets/01.map] starting to read segment tl of size 0
[map assets/01.map] finished reading segment tl
[map assets/01.map] starting to read segment st of size 0
[map assets/01.map] finished reading segment st
[map assets/01.map] starting to read segment obst of size 2
[map assets/01.map] finished reading segment obst
[map assets/01.map] starting to read segment iti of size 8
[map assets/01.map] finished reading segment iti
[sdl] loaded texture b-01.bmp
[sdl] loaded texture orange.bmp
[sdl] loaded texture obst.bmp
[simulation] starting (16 ms/cycle)
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
